epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,518.435,1.90764,3.87418,1.50618,0.99657,0.04054,0.10835,0.05996,1.95163,4.04808,1.47997,0.00019237,0.00019237,0.00019237
2,1078.43,1.84909,2.48728,1.41981,0.17997,0.29429,0.20718,0.09902,1.99663,2.32762,1.52418,0.000384526,0.000384526,0.000384526
3,1672.92,1.81506,2.06999,1.40961,0.198,0.47527,0.24235,0.11281,1.93876,2.39083,1.4897,0.0005728,0.0005728,0.0005728
4,2270.37,1.80575,1.8983,1.36614,0.1905,0.38707,0.2568,0.12038,1.90051,1.99249,1.46059,0.000570536,0.000570536,0.000570536
5,2826.9,1.73895,1.79304,1.33345,0.22767,0.41786,0.29042,0.13435,1.87769,1.96951,1.42525,0.000564715,0.000564715,0.000564715
6,3253.75,1.72443,1.74811,1.3281,0.2715,0.39275,0.30641,0.14085,1.91541,1.81907,1.44528,0.000558894,0.000558894,0.000558894
7,3662.98,1.70367,1.68774,1.31718,0.26531,0.35158,0.31445,0.14204,1.89683,1.80341,1.43921,0.000553073,0.000553073,0.000553073
8,4073.53,1.6948,1.63859,1.30413,0.31528,0.41665,0.3454,0.155,1.94146,1.76014,1.44809,0.000547252,0.000547252,0.000547252
9,4480.84,1.70697,1.59836,1.31611,0.382,0.38584,0.37043,0.16787,1.87724,1.73441,1.41792,0.00054143,0.00054143,0.00054143
10,4923.14,1.70295,1.53558,1.32905,0.42096,0.40083,0.40053,0.17233,1.88575,1.69718,1.42671,0.000535609,0.000535609,0.000535609
11,5364.93,1.69056,1.49507,1.31731,0.4195,0.46505,0.42703,0.18149,1.91087,1.652,1.43837,0.000529788,0.000529788,0.000529788
12,5781.79,1.61771,1.45658,1.29424,0.4212,0.51353,0.46998,0.20191,1.87424,1.57588,1.4216,0.000523967,0.000523967,0.000523967
13,6215.81,1.62306,1.39723,1.27221,0.50604,0.48763,0.50435,0.21874,1.86269,1.51918,1.41229,0.000518146,0.000518146,0.000518146
14,6692.22,1.62995,1.34787,1.28721,0.49455,0.57816,0.52272,0.22286,1.88735,1.47108,1.41375,0.000512324,0.000512324,0.000512324
15,7155.36,1.6477,1.34891,1.2846,0.53749,0.57564,0.55907,0.23465,1.87144,1.42354,1.41465,0.000506503,0.000506503,0.000506503
16,7615.32,1.62838,1.32588,1.31754,0.57803,0.5591,0.55252,0.23338,1.93094,1.46314,1.43301,0.000500682,0.000500682,0.000500682
17,8056.02,1.63215,1.31917,1.29231,0.57781,0.56061,0.5906,0.24414,1.90875,1.406,1.42821,0.000494861,0.000494861,0.000494861
18,8464.2,1.61402,1.26222,1.28305,0.5771,0.57261,0.58515,0.24219,1.8954,1.37075,1.42485,0.00048904,0.00048904,0.00048904
19,9479.71,1.59567,1.24263,1.27418,0.6232,0.57778,0.61484,0.25314,1.90362,1.33481,1.41856,0.000483218,0.000483218,0.000483218
20,9962.18,1.59407,1.20011,1.27529,0.64236,0.6045,0.63175,0.2619,1.89541,1.33603,1.40757,0.000477397,0.000477397,0.000477397
